Company,Company Score,Job Title,Location,Date,Salary
gelber group,5.0,senior software engineer,"los altos, ca",9d,$110k - $143k (glassdoor est.)
"peopletec, inc.",3.5,software engineer- executions team,"chicago, il",20d,$80.00 - $85.00 per hour (employer est.)
ingrain systems inc.,3.9,software engineer,"jamesburg, nj",20d,$95k - $125k (glassdoor est.)
carrier,4.7,software developers,"sherman, tx",30d+,$92k - $158k (employer est.)
ncr,4.2,software engineer,"charlotte, nc",3d,$147k - $180k (employer est.)
anavation,3.5,software engineer iv - java fullstack,indiana,30d+,$75k - $102k (glassdoor est.)
soar technology,3.5,mid-level software engineer – hybrid!,"quantico, va",30d+,$60k - $112k (employer est.)
red ventures,3.1,autonomy software engineer,"ann arbor, mi",2d,$108k - $151k (glassdoor est.)
cvs health,4.1,software engineer | the points guy,"san juan, pr",2d,$123k - $196k (employer est.)
"messenger, llc",4.4,software development itam engineer,"lansing, mi",5d,$116k - $166k (glassdoor est.)
nelnet,3.5,software developer,"auburn, in",3d,$59k - $107k (glassdoor est.)
slate magazine,4.8,it software engineer- nbs,"lincoln, ne",24d,$104k - $163k (glassdoor est.)
adobe,3.5,software engineer,"washington, dc",30d+,$68k - $80k (employer est.)
airgas,4.1,software engineer,"lehi, ut",12d,$83k - $107k (glassdoor est.)
umbra,3.9,firmware engineer,"cheshire, ct",2d,$109k - $209k (employer est.)
uber,3.8,senior software engineer,"santa barbara, ca",5d,$97k - $197k (employer est.)
collaborative robotics,3.7,software engineer ii - uber eats,"san francisco, ca",27d,$57k - $96k (glassdoor est.)
werfen,3.3,"software engineer, robotics","santa clara, ca",8d,$98k - $145k (glassdoor est.)
snapchat,4.3,"software development engineer in test, digital solutions","bedford, ma",19d,$66k - $90k (glassdoor est.)
"canon medical research usa, inc",3.7,"c++ graphics engineer, 1+ years of experience","new york, ny",2d,$55.00 - $60.00 per hour (employer est.)
raytheon,4.0,software engineer,"cambridge, ma",2d,$79k - $168k (employer est.)
snapchat,3.8,junior software engineer,"annapolis junction, md",6d,$102k - $174k (employer est.)
hudson river trading,3.9,"software engineer, c++, 3+ years of experience","los angeles, ca",4d,$73k - $108k (glassdoor est.)
whisker,4.3,systems software engineer,"new york, ny",30d+,$110k - $190k (employer est.)
mastercard,3.1,senior software engineer,"auburn hills, mi",30d+,$94k - $137k (glassdoor est.)
savannah river mission completion,3.6,software engineer ii,"o fallon, mo",8d,$89k - $113k (glassdoor est.)
mill-max,3.8,associate software developer,"aiken, sc",9d,$80k - $100k (employer est.)
disney entertainment & espn technology,3.8,software engineer trainee,"oyster bay, ny",24d,$128k - $179k (glassdoor est.)
coca-cola,4.2,sr software engineer,"seattle, wa",1d,$74k - $125k (glassdoor est.)
kaleido,4.1,staff software engineer,"atlanta, ga",4d,$90k - $187k (employer est.)
m&t bank,3.7,full stack engineer,"raleigh, nc",5d,$143k - $256k (employer est.)
lufburrow & co,3.4,"software engineer - api, java, spring boot","buffalo, ny",30d+,$114k - $145k (glassdoor est.)
boost tech,4.1,software engineer - hybrid,"havre de grace, md",30d+,$101k - $155k (glassdoor est.)
bae systems,3.9,senior software engineer (crm),remote,2d,$84k - $128k (glassdoor est.)
vantaca,4.5,test software engineer,"nashua, nh",4d,$100.00 per hour (employer est.)
veracity engineering,4.6,software engineer (multiple openings),"fort collins, co",18d,$99k - $137k (glassdoor est.)
applovin,4.7,software engineer,"washington, dc",5d,$15.69 per hour (employer est.)
m&t bank,4.1,"software engineer ii, c++ backend","palo alto, ca",5d,$141k - $211k (employer est.)
cvs health,4.2,software engineer ii,"wilmington, de",30d+,$76k - $128k (employer est.)
microsoft,4.1,junior software developer (java & azure cloud),"woonsocket, ri",2d,$93k - $129k (glassdoor est.)
honda research institute usa,4.2,senior software engineer,"boston, ma",30d+,$86k - $145k (glassdoor est.)
activision,4.0,software engineer for mobile robots,"san jose, ca",13d,$67k - $112k (glassdoor est.)
thatgamecompany,3.6,senior software engineer,"santa monica, ca",9d,$116k - $150k (employer est.)
bny mellon,4.0,build engineer,california,4d,$85k - $115k (employer est.)
recruiting from scratch,3.6,"vice president, back-end engineer i","lake mary, fl",2d,$90k - $115k (glassdoor est.)
"akina, inc.",3.9,founding software engineer,"san francisco, ca",3d,$92k - $156k (employer est.)
vonnen,4.8,software engineer - 1 (kubernetes/python),"annapolis junction, md",18d,$150k - $200k (employer est.)
capgemini,4.5,software engineer,"santa clara, ca",9d,$95k - $147k (glassdoor est.)
"stefanini, inc",3.6,software engineer - redis,"irving, tx",2d,$102k - $148k (glassdoor est.)
infosys,4.7,software engineer,"dearborn, mi",25d,$40.00 - $60.00 per hour (employer est.)
"link, llc",4.9,release engineer,"chicago, il",9d,$86k - $109k (glassdoor est.)
autodesk,3.9,"golang software engineer (vista bighitter), bs+7, telework","annapolis junction, md",11d,$87k - $125k (glassdoor est.)
bct llc,3.9,"software development engineer, platform services",oregon,6d,$75.00 - $80.00 per hour (employer est.)
